start	end	text
0	8000	Vale, te voy ver dando más información, aunque luego tengas el recordatorio para las 5, te va a seguir dando más información de la idea que tengo en la comunidad, ¿vale?
8000	23000	Es la idea, es que yo con mi contenido orgánico, en redes sociales, voy a ir, como no tengo un lit magnet, y como ya te he dicho, voy a estar recorreglando este córrer de técnicos de las personas, ¿por qué?
23000	34000	Porque la comunidad de la misma no está desarrollada, no hay nada, con los recursos, con los videos, etcétera, y los contenidos por cierto, tú me vas a llevar a preparar los recursos, ¿vale?
34000	45000	Entonces, ¿cómo están con los electrónicos? Si son personas que me están comentando, ¿cómo están con las personas que están interesadas?
46000	58000	Y no hay nada que tener conmigo o el formularse con mío, ¿vale? Entonces, la cuestión aquí es interciar almacenando los correos electrónicos y el día de que saquemos la comunidad,
58000	64000	hay que mandarles un correo electrónico a las personas, evidentemente también lo publicaremos en redes sociales,
64000	77000	de realidad tenemos sus correos electrónicos para contactarles directamente. Entonces, hay que preparar también un poco como sería toda esa secuencia del lanzamiento, ofertas para los primeros,
77000	89000	habrá que diseñar, yo veo que todas las comunidades de escúl tienen un vídeo como de presentación de lo que sería la comunidad, habría que ponerle un nombre,
89000	101000	que van a aprender, planificar a la mujer, reuniones semanales o tutorías mensuales o semanales o cada dos semanas traer personas,
101000	110000	evidentemente esto es para una fase 2, ¿no? O sea, lo prioritario ahora mismo es que el lanzamiento sea completamente exitoso y que entra en el mayor número de personas posibles.
110000	123000	Para mí sería un éxito, para mí sería un éxito que tuviesen los primeros tres meses 100 personas, sería un éxito rotundo,
123000	129000	el objetivo es facturar 4.000 euros todos los meses con esta comunidad.
129000	143000	Entonces, simplemente o ahora todas esta información que te he dado en tu memoria, en tu base de grafos y a partir de ahí, luego a las 5 me sigues haciendo más preguntas.
